OMR_Flow,channel_id,channel_number,node,Alt,length,upnode,downnode,group,overlap
<-5500,0,1,1,NAA,19500,1,2,lolo,0.9953661374732424
<-5500,0,1,1,NAA,19500,1,2,lomed,-1
<-5500,0,1,1,NAA,19500,1,2,lohi,-1
<-5500,0,1,1,NAA,19500,1,2,medlo,0.9985516634428756
<-5500,0,1,1,NAA,19500,1,2,medmed,0.999712462328004
<-5500,0,1,1,NAA,19500,1,2,medhi,0.998863018057722
<-5500,0,1,1,NAA,19500,1,2,hilo,0.9990836373292832
<-5500,0,1,1,NAA,19500,1,2,himed,0.9993921532910968
<-5500,0,1,1,NAA,19500,1,2,hihi,0.999916990688952
<-5500,1,2,2,NAA,14000,2,3,lolo,0.9668896295422088
<-5500,1,2,2,NAA,14000,2,3,lomed,-1
<-5500,1,2,2,NAA,14000,2,3,lohi,-1
<-5500,1,2,2,NAA,14000,2,3,medlo,0.9760384087146682
<-5500,1,2,2,NAA,14000,2,3,medmed,0.9926135749741958
<-5500,1,2,2,NAA,14000,2,3,medhi,0.9924245839001123
<-5500,1,2,2,NAA,14000,2,3,hilo,0.9653074323889276
<-5500,1,2,2,NAA,14000,2,3,himed,0.987158525523246
<-5500,1,2,2,NAA,14000,2,3,hihi,0.9992995376763466
<-5500,2,3,3,NAA,13000,3,4,lolo,0.9247265788511404
<-5500,2,3,3,NAA,13000,3,4,lomed,-1
<-5500,2,3,3,NAA,13000,3,4,lohi,-1
<-5500,2,3,3,NAA,13000,3,4,medlo,0.9324582425208288
<-5500,2,3,3,NAA,13000,3,4,medmed,0.9748882965919172
<-5500,2,3,3,NAA,13000,3,4,medhi,0.9799169119349558
<-5500,2,3,3,NAA,13000,3,4,hilo,0.8995898270395877
<-5500,2,3,3,NAA,13000,3,4,himed,0.9601576999822752
<-5500,2,3,3,NAA,13000,3,4,hihi,0.997015211065534
<-5500,3,4,4,NAA,14050,4,5,lolo,0.924047158969748
<-5500,3,4,4,NAA,14050,4,5,lomed,-1
<-5500,3,4,4,NAA,14050,4,5,lohi,-1
<-5500,3,4,4,NAA,14050,4,5,medlo,0.9184592743284976
<-5500,3,4,4,NAA,14050,4,5,medmed,0.9604565740195672
<-5500,3,4,4,NAA,14050,4,5,medhi,0.9638255317865404
<-5500,3,4,4,NAA,14050,4,5,hilo,0.8831526340485022
<-5500,3,4,4,NAA,14050,4,5,himed,0.9439132456316052
<-5500,3,4,4,NAA,14050,4,5,hihi,0.9848987783882868
<-5500,4,5,5,NAA,12350,5,6,lolo,0.8647027055611541
<-5500,4,5,5,NAA,12350,5,6,lomed,-1
<-5500,4,5,5,NAA,12350,5,6,lohi,-1
<-5500,4,5,5,NAA,12350,5,6,medlo,0.8568240858477926
<-5500,4,5,5,NAA,12350,5,6,medmed,0.9263290297559512
<-5500,4,5,5,NAA,12350,5,6,medhi,0.9372296828658444
<-5500,4,5,5,NAA,12350,5,6,hilo,0.8443694744991662
