Sub.group,OMR,Alt,n,percent
lolo,-2000,NAA,27,4
lolo,-2000,Act5,40,6
lolo,-3500,NAA,18,3
lolo,-3500,Act5,19,3
lolo,-5000,NAA,22,3
lolo,-5000,Act5,28,4
lolo,<-5500,NAA,10,1
lolo,<-5500,Act5,5,1
lolo,NA,NAA,55,8
lolo,NA,Act5,40,6
lomed,-2000,NAA,25,4
lomed,-2000,Act5,14,2
lomed,-3500,NAA,9,1
lomed,-3500,Act5,8,1
lomed,-5000,NAA,12,2
lomed,-5000,Act5,10,1
lomed,<-5500,NAA,0,NA
lomed,<-5500,Act5,0,NA
lomed,NA,NAA,24,3
lomed,NA,Act5,37,5
lohi,-2000,NAA,10,1
lohi,-2000,Act5,0,NA
lohi,-3500,NAA,3,0
lohi,-3500,Act5,8,1
lohi,-5000,NAA,3,0
lohi,-5000,Act5,4,1
lohi,<-5500,NAA,0,NA
lohi,<-5500,Act5,0,NA
lohi,NA,NAA,15,2
lohi,NA,Act5,11,2
medlo,-2000,NAA,1,0
medlo,-2000,Act5,0,NA
medlo,-3500,NAA,11,2
medlo,-3500,Act5,6,1
medlo,-5000,NAA,45,6
medlo,-5000,Act5,34,5
medlo,<-5500,NAA,10,1
medlo,<-5500,Act5,11,2
medlo,NA,NAA,14,2
medlo,NA,Act5,11,2
medmed,-2000,NAA,26,4
medmed,-2000,Act5,18,3
medmed,-3500,NAA,25,4
medmed,-3500,Act5,24,3
medmed,-5000,NAA,20,3
medmed,-5000,Act5,37,5
medmed,<-5500,NAA,5,1
medmed,<-5500,Act5,3,0
medmed,NA,NAA,25,4
medmed,NA,Act5,29,4
medhi,-2000,NAA,11,2
medhi,-2000,Act5,4,1
medhi,-3500,NAA,8,1
medhi,-3500,Act5,16,2
medhi,-5000,NAA,1,0
medhi,-5000,Act5,15,2
medhi,<-5500,NAA,1,0
medhi,<-5500,Act5,0,NA
medhi,NA,NAA,30,4
medhi,NA,Act5,23,3
hilo,-2000,NAA,0,NA
hilo,-2000,Act5,0,NA
hilo,-3500,NAA,2,0
hilo,-3500,Act5,4,1
hilo,-5000,NAA,10,1
hilo,-5000,Act5,15,2
hilo,<-5500,NAA,1,0
hilo,<-5500,Act5,0,NA
hilo,NA,NAA,7,1
hilo,NA,Act5,0,NA
himed,-2000,NAA,4,1
himed,-2000,Act5,4,1
himed,-3500,NAA,12,2
himed,-3500,Act5,14,2
himed,-5000,NAA,24,3
himed,-5000,Act5,44,6
himed,<-5500,NAA,3,0
himed,<-5500,Act5,0,NA
himed,NA,NAA,19,3
himed,NA,Act5,8,1
hihi,-2000,NAA,16,2
hihi,-2000,Act5,7,1
hihi,-3500,NAA,26,4
hihi,-3500,Act5,16,2
hihi,-5000,NAA,34,5
hihi,-5000,Act5,69,10
hihi,<-5500,NAA,5,1
hihi,<-5500,Act5,0,NA
hihi,NA,NAA,71,10
hihi,NA,Act5,62,9
NA,-2000,NAA,0,NA
NA,-2000,Act5,1,0
NA,-3500,NAA,0,NA
NA,-3500,Act5,0,NA
NA,-5000,NAA,0,NA
NA,-5000,Act5,0,NA
NA,<-5500,NAA,0,NA
NA,<-5500,Act5,0,NA
NA,NA,NAA,0,NA
NA,NA,Act5,1,0
