Date_x,month_year,OMR_bin,Sac.cfs,SJR.cfs,Sub.group
12/1/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/2/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/3/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/4/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/5/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/6/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/7/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/8/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/9/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/10/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/11/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/12/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/13/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/14/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/15/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/16/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/17/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/18/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/19/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/20/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/21/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/22/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/23/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/24/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/25/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/26/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/27/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/28/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/29/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/30/1921,1921-12,-5000,19726.72763,4421.145354,medhi
12/31/1921,1921-12,-5000,19726.72763,4421.145354,medhi
1/1/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/2/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/3/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/4/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/5/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/6/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/7/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/8/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/9/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/10/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/11/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/12/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/13/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/14/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/15/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/16/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/17/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/18/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/19/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/20/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/21/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/22/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/23/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/24/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/25/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/26/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/27/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/28/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/29/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/30/1922,1922-01,-5000,20420.6101,3336.381512,medmed
1/31/1922,1922-01,-5000,20420.6101,3336.381512,medmed
2/1/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/2/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/3/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/4/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/5/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/6/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/7/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/8/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/9/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/10/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/11/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/12/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/13/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/14/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/15/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/16/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/17/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/18/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/19/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/20/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/21/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/22/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/23/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/24/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/25/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/26/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/27/1922,1922-02,-5000,45476.84778,10707.17882,hihi
2/28/1922,1922-02,-5000,45476.84778,10707.17882,hihi
3/1/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/2/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/3/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/4/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/5/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/6/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/7/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/8/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/9/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/10/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/11/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/12/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/13/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/14/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/15/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/16/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/17/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/18/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/19/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/20/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/21/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/22/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/23/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/24/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/25/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/26/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/27/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/28/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/29/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/30/1922,1922-03,-3500,40731.18486,8029.722301,hihi
3/31/1922,1922-03,-3500,40731.18486,8029.722301,hihi
4/1/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/2/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/3/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/4/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/5/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/6/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/7/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/8/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/9/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/10/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/11/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/12/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/13/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/14/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/15/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/16/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/17/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/18/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/19/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/20/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/21/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/22/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/23/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/24/1922,1922-04,-3500,33532.25079,8983.879513,hihi
4/25/1922,1922-04,-3500,33532.25079,8983.879513,hihi
